classifier_model,regressor_model,n_train,n_valid,n_train_positive,n_valid_positive,cls_accuracy,cls_precision,cls_recall,cls_f1,cls_auc,stage2_truepos_mae,stage2_truepos_rmse,combined_mae,combined_rmse,combined_accuracy_within_720h,combined_precision_within_720h,combined_recall_within_720h,combined_f1_within_720h
random_forest_classifier,random_forest_regressor,130969,13724,81866,8158,0.6969542407461381,0.7095692275442825,0.8298602598676146,0.7650149725973219,0.7594680654451513,139.36708123979903,179.91657758773755,235.93520654644342,338.23838408194507,0.6969542407461381,0.7095692275442825,0.8298602598676146,0.7650149725973219
random_forest_classifier,linear_regression,130969,13724,81866,8158,0.6969542407461381,0.7095692275442825,0.8298602598676146,0.7650149725973219,0.7594680654451513,146.7419368838421,188.11977657039492,244.2714447458542,346.73577009656873,0.6969542407461381,0.7095692275442825,0.8298602598676146,0.7650149725973219
logistic_regression,random_forest_regressor,130969,13724,81866,8158,0.6056543281842028,0.6053398803130274,0.9671488109830841,0.7446206115515289,0.5875174431813226,139.36708123979903,179.91657758773755,293.49698450152516,371.23042939205135,0.6056543281842028,0.6053398803130274,0.9671488109830841,0.7446206115515289
logistic_regression,linear_regression,130969,13724,81866,8158,0.6056543281842028,0.6053398803130274,0.9671488109830841,0.7446206115515289,0.5875174431813226,146.7419368838421,188.11977657039492,312.3990830715363,391.2874901283497,0.6056543281842028,0.6053398803130274,0.9671488109830841,0.7446206115515289
