split,target,brier_score,log_loss,roc_auc,n_obs,positive_rate
train,y_24h,0.21834346807039115,0.6329747691685844,0.7019154050439768,14968,0.43826830571886694
val,y_24h,0.21155417839014767,0.6115399008527732,0.6971252485872369,1461,0.39014373716632444
test,y_24h,0.2031542400265947,0.5944767575820129,0.7727200012188433,2052,0.5243664717348928
train,y_72h,0.2280404476675581,0.6506564064387445,0.6760934471407678,14968,0.5012025654730091
val,y_72h,0.22799151777023652,0.6476685112387035,0.6618815460261102,1461,0.45037645448323066
test,y_72h,0.2080058651423102,0.6029380975611663,0.746592072582265,2052,0.5872319688109162
