model,mae,rmse,accuracy_within_720h,precision_within_720h,recall_within_720h,f1_within_720h,conditional_mae_true_aftershock,conditional_rmse_true_aftershock,n_train,n_valid,n_valid_true_aftershock
random_forest,242.291886590804,281.19291183565224,0.5944331098805014,0.5944331098805014,1.0,0.745635682295951,233.0464936523012,278.80653249423756,130969,13724,8158
linear_regression,291.86536468833697,310.9580347658111,0.5944331098805014,0.5944331098805014,1.0,0.745635682295951,249.8019086850191,274.8230141316036,130969,13724,8158
dummy_median,300.80255944260256,327.4851962087221,0.5944331098805014,0.5944331098805014,1.0,0.745635682295951,212.09545652730105,231.91468822177754,130969,13724,8158
