epoch,train_total_loss,train_prob_loss,train_count_loss,val_total_loss,val_prob_loss,val_count_loss,epoch_seconds
1,1.21734966864666,0.6676532964354244,0.5496963712174368,1.2806114056788453,0.6315634906838793,0.6490479333138247,0.26923595898551866
2,1.0899505123407416,0.6072641921583775,0.4826863205136305,1.2078484635834301,0.5971776553250234,0.6106708112659804,0.22477424994576722
3,1.043854786023497,0.5886587329555969,0.4551960528906208,1.1815222217402328,0.5863744031398668,0.5951478369192246,0.1695188750163652
4,1.0154542714431134,0.5780617790373102,0.43739248960168575,1.1815534600424111,0.5861004897213857,0.5954529645792935,0.2154887500219047
5,0.996631177092524,0.571425336376004,0.4252058445027904,1.1676654099324428,0.5803884945878195,0.5872768989396752,0.17438541701994836
6,0.9832035781329829,0.5656372155183965,0.4175663639396516,1.1785706423838205,0.5858241921171136,0.592746441790817,0.21574725001119077
7,0.9775198675010462,0.5629767285390836,0.41454313646581914,1.1805477043904296,0.5854934289914753,0.5950542991861291,0.16842087503755465
8,0.9658389030414473,0.558181749894975,0.4076571513477996,1.1645325351198879,0.5782739952069904,0.5862585431938871,0.21367779199499637
9,0.9600239043063727,0.5548390728647516,0.40518482977364345,1.1920195976528554,0.5880671941905941,0.6039524318975046,0.16875387501204386
10,0.9528601116298889,0.5521055788835656,0.40075453705278546,1.1907272869293843,0.586061959966607,0.604665314932482,0.21510491601657122
11,0.9526699870031586,0.5524734077464587,0.40019657844018025,1.1978178100848416,0.5896557831982954,0.608162014856251,0.16975558403646573
12,0.9462103773967757,0.5505093409993264,0.3957010355576375,1.1659967713399764,0.5761294277436143,0.5898673345736407,0.21795816702069715
13,0.9422282567166469,0.5479595960855825,0.3942686598028985,1.1816270870899936,0.5824049820593737,0.5992221104989358,0.17324087501037866
14,0.9387094585124619,0.5471198424644514,0.3915896122384478,1.1975459046320085,0.5899761986295018,0.607569704088596,0.21589279203908518
15,0.9362261923585876,0.5454923986720902,0.39073379428950566,1.1651764670643239,0.5747696861214594,0.5904067877782594,0.174912917020265
16,0.9268319340292782,0.5415785750985213,0.38525335893075696,1.1648215214046864,0.5760152793805534,0.5888062289001745,0.31867866701213643
17,0.929720824356215,0.5431171759744995,0.38660364639411754,1.1632636523028033,0.5754433372698793,0.5878203289771299,0.16821829200489447
18,0.9255733078314196,0.5414871401862581,0.38408616930149303,1.1772985513057184,0.5798238051047019,0.5974747420997795,0.20510487497085705
19,0.9202341846531323,0.5388681386465991,0.38136604750887776,1.174621397202168,0.5773358995761346,0.5972854976260334,0.16819991602096707
20,0.9214913601374471,0.5402490643350183,0.3812422939688181,1.1729956706729503,0.5766285253227303,0.5963671420692304,0.20879249996505678
