feature,importance,target
strike2,0.0067535774,y_72h
strike,0.0067294603,y_72h
rms,0.006665949,y_72h
trigger_month,0.0066189854,y_72h
rake,0.0065942635,y_72h
gcmt_eig3,0.006527243,y_72h
gcmt_mag_diff,0.006451411,y_72h
gcmt_distance_km,0.0064165452,y_72h
gcmt_eig1,0.0063546714,y_72h
trigger_hour_cos,0.006077832,y_72h
gcmt_time_diff_sec_log1p,0.006058761,y_72h
gcmt_latitude_error,0.005832932,y_72h
trigger_hour,0.0053381226,y_72h
gcmt_time_diff_sec,0.0051853308,y_72h
trigger_hour_sin,0.004880531,y_72h
has_gcmt,0.0,y_72h
