epoch,train_total_loss,train_prob_loss,train_count_loss,val_total_loss,val_prob_loss,val_count_loss,epoch_seconds
1,1.1980821444195178,0.6564126569891114,0.5416694895836375,1.304409632989026,0.6337629928501374,0.6706466371313148,0.24319154099794105
2,1.1233274965195985,0.621735832320692,0.5015916643645397,1.3436944276914684,0.6538259709646942,0.689868466569743,0.20234379201428965
3,1.1014783658919625,0.6091771595492861,0.4923012060230561,1.3320265598253374,0.641809970413873,0.6902165784748322,0.16112683300161734
4,1.079964365069821,0.598307910689539,0.4816564522270508,1.346641938620751,0.6494536213918564,0.6971883355477534,0.16178924997802824
5,1.0665220219046194,0.5914610042190445,0.47506101651449684,1.3164004656152988,0.6350189955956346,0.6813814787689699,0.19107995799276978
6,1.0534927122116007,0.5860521728690906,0.46744054082156233,1.3380754343960264,0.6402671747251388,0.6978082785365778,0.17309191601816565
7,1.0429108889651284,0.581275454227346,0.4616354352463281,1.3478911229229849,0.6429810955983783,0.7049100133804006,0.1665280840243213
8,1.0330171245379753,0.5782548433316835,0.45476228235407773,1.3550719722695308,0.6446195086207959,0.7104524600943294,0.22033454099437222
9,1.0250145449142916,0.5749998342006911,0.4500147102167011,1.3117831360309495,0.6322866765730971,0.6794964528958732,0.16429204202722758
10,1.0230232455034676,0.5739292274321225,0.44909401591811404,1.3057148888570453,0.628208889326918,0.6775059831251792,0.19962199998553842
11,1.0098732236846697,0.5683227882373453,0.4415504343111844,1.3055499283545609,0.6231077143905359,0.6824422074020455,0.17153837496880442
12,1.0017518990463536,0.5657783802749952,0.4359735157666694,1.3050149908853232,0.6237779112037168,0.6812370783145275,0.19321666698670015
13,0.9986488249447771,0.5651581121983796,0.43349071390582955,1.300879676954462,0.6212386363143221,0.6796410176732125,0.15139691601507366
14,0.9948488521252943,0.5646876955818071,0.4301611570403867,1.2856623557729459,0.6166967678507533,0.6689655821804606,0.19374487502500415
15,0.9916772646338976,0.5629146561879972,0.42876260316893144,1.300760273539692,0.6214658377367422,0.6792944303346337,0.1511791660450399
16,0.9827576907467508,0.5592091536455658,0.4235485344394083,1.3110609519372292,0.6242029464572941,0.6868580186038936,0.19109300000127405
17,0.9804097055006853,0.5595972521262847,0.4208124510671824,1.2941446194954969,0.6192011494155324,0.6749434621509062,0.152739749988541
18,0.9800774199969552,0.5584389878170276,0.4216384292101768,1.2980821242026233,0.6199310077439755,0.6781510948587995,0.16357108298689127
19,0.9752083066531442,0.5576223096174235,0.41758599950857195,1.314160112940937,0.6268147164528522,0.6873453940273425,0.20239774999208748
20,0.9715163157779309,0.5564758636843163,0.4150404521052606,1.3021318518787348,0.6224023612267381,0.6797295004949657,0.162846332998015
21,0.968661643623255,0.5554587940724393,0.4132028477055588,1.2900006650784694,0.6146299385149544,0.6753707159002986,0.2041808750363998
22,0.961472748136568,0.5527093477029889,0.4087634017586444,1.2965154997799375,0.6207274482884538,0.675788052311731,0.16058991698082536
23,0.9628110956335124,0.5539246430528919,0.4088864544025852,1.3279884413841667,0.6369346883318839,0.6910537639889148,0.21594420803012326
24,0.9597752043181321,0.5524781669461045,0.40729704003380424,1.2988911353120016,0.6211834194463327,0.6777077144985899,0.16012091701850295
25,0.9548569263790181,0.5502212273588525,0.40463569770674646,1.2932152441882212,0.6174896539898094,0.6757255899249961,0.20260837499517947
