model_name,horizon,split,MAE,RMSE
zinb_gpu,24h,train,6.2189,22.7778
zinb_gpu,24h,val,12.8762,40.5236
zinb_gpu,24h,test,8.9166,25.4648
zinb_gpu,72h,train,10.0423,37.4976
zinb_gpu,72h,val,19.8359,60.3102
zinb_gpu,72h,test,13.6412,39.3165
