split,target,brier_score,log_loss,roc_auc,n_obs,positive_rate
train,y_24h,0.13649095309275006,0.4295848219759384,0.8917051360057784,14968,0.43826830571886694
val,y_24h,0.17314011256120604,0.51963601466077,0.7995175930848444,1461,0.39014373716632444
test,y_24h,0.17397296394833084,0.5230628539386353,0.8241285270278504,2052,0.5243664717348928
train,y_72h,0.1475313984032862,0.45790258938621364,0.8778353274915599,14968,0.5012025654730091
val,y_72h,0.19085872575788754,0.5616706512862968,0.7715235798884881,1461,0.45037645448323066
test,y_72h,0.18135622706501453,0.5404599137563458,0.8026601086578453,2052,0.5872319688109162
