epoch,train_total_loss,train_prob_loss,train_count_loss,train_magnitude_loss,val_total_loss,val_prob_loss,val_count_loss,val_magnitude_loss,epoch_seconds
1,2.8962735116034053,0.7139010600217399,0.6225094286293292,1.559863021627271,1.709099964264336,0.677173788394403,0.7274068263145762,0.30451936185906786,0.3868401249637827
2,1.7328800248559353,0.6695270162627491,0.5563539973529327,0.5069990059632846,1.5563479585385105,0.6198119362559887,0.6635020714287364,0.2730339768282864,0.3263636250048876
3,1.6017490452087777,0.6296047244353122,0.5145851926731952,0.4575591396712992,1.4959894965548035,0.5998984657296347,0.6333672201961552,0.26272382594029836,0.39845624996814877
4,1.5243473621773134,0.6101475269266198,0.4862044067100408,0.42799542555925585,1.4472509064805616,0.5867544500105971,0.5998315893181967,0.26066487015934164,0.31385329202748835
5,1.4854378482138182,0.6021435220399622,0.4726805855948265,0.4106137425899195,1.4823833364959156,0.5919366703120941,0.6260152513827753,0.26443140564161705,0.3095747919869609
6,1.4532319468974881,0.5959227678701357,0.46027710330268384,0.39703207063662505,1.5039188577494491,0.5961254085969487,0.6474771559785265,0.2603162970017949,0.3342089999932796
7,1.4316790498947436,0.5890448057958458,0.45059857642385076,0.39203566934302464,1.4273820284309737,0.5800795052029671,0.5988518830833085,0.24845064547630624,0.3104450830142014
8,1.4051937687273295,0.5836277715129065,0.4466142492383132,0.3749517524714973,1.4465131256558479,0.5861382287576657,0.6194379578489776,0.2409369133481192,0.31812745798379183
9,1.3853920789522933,0.5813444336829932,0.4407728745563534,0.36327476325945457,1.436397957145621,0.5823866653879848,0.6059829316554813,0.24802838279566633,0.4258502079755999
10,1.3727758556124308,0.5805537836291105,0.4393728590110977,0.35284921344583,1.4403075898459199,0.5828913565075725,0.5953312614642152,0.2620849937473962,0.3160089579760097
11,1.3537053467784215,0.5783443169092564,0.433884492114469,0.3414765335310505,1.4399064494929183,0.5837144381409392,0.6044336650349679,0.2517583290918158,0.3317125419853255
12,1.350941466165062,0.5749958444214133,0.4349827519573291,0.3409628674079311,1.4571643313136668,0.5837578385248097,0.6105438771597836,0.2628626525402069,0.31377137498930097
13,1.3357350784026973,0.5738392999679359,0.4306026812235038,0.3312930960634715,1.4305515453356121,0.5848333709830538,0.6081003986914223,0.23761778304336267,0.34962804097449407
14,1.3219350636391016,0.5698365095921456,0.42553783522349536,0.3265607222189404,1.4634935615259572,0.5874516739757782,0.6154044076390223,0.26063747608333554,0.32619858405087143
15,1.3149203112523848,0.5695361775196844,0.4255879647380535,0.319796161292705,1.427669687008639,0.5791194072557152,0.5992379686154357,0.24931229295533733,0.4129602089524269
16,1.3071236272727997,0.5690301853981762,0.422224555404129,0.3158688849086255,1.4297627473096235,0.5814170848338975,0.6003663140699405,0.2479793296768031,0.3493489170214161
