model_name,split,horizon,mae,rmse,n_obs,mean_true,mean_pred,positive_count_rate
mlp_multitask_v1_enriched_h256_128_64_do03_counttower64_calibrated_loglinear_probaware,train,24,11.407897654500973,34.80879974035221,10199,15.064320031375624,8.559884893869558,0.442837914115757
mlp_multitask_v1_enriched_h256_128_64_do03_counttower64_calibrated_loglinear_probaware,val,24,25.411863981273303,60.075587366736414,834,28.145083932853716,4.931199452396805,0.4782110091743119
mlp_multitask_v1_enriched_h256_128_64_do03_counttower64_calibrated_loglinear_probaware,test,24,18.072147437565572,40.48062126289,1646,20.54617253948967,5.210705587555949,0.46854540278963847
mlp_multitask_v1_enriched_h256_128_64_do03_counttower64_calibrated_loglinear_probaware,train,72,16.49367374275809,53.44687606388763,11597,21.56523238768647,10.216299728493663,0.5035387086969736
mlp_multitask_v1_enriched_h256_128_64_do03_counttower64_calibrated_loglinear_probaware,val,72,35.15795677720034,84.21774262338643,933,38.38478027867095,6.156322346866786,0.5349770642201835
mlp_multitask_v1_enriched_h256_128_64_do03_counttower64_calibrated_loglinear_probaware,test,72,24.284092266323498,56.774277876122056,1863,27.198067632850243,6.375891939160978,0.5303159692570453
