model_name,split,horizon,bucket_order,count_bucket,bucket_lower,bucket_upper,n_obs,mean_true,mean_pred,median_true,median_pred,mae,rmse,mean_error,median_error,mean_pred_over_mean_true
mlp_multitask_v1_enriched_h256_128_64_do03_counttower64_calibrated_loglinear_probaware,train,24,0,0,0.0,0.0,12832,0.0,1.6089884101151173,0.0,0.816552245095113,1.6089884101151173,3.4393499523538025,1.6089884101151173,0.816552245095113,
mlp_multitask_v1_enriched_h256_128_64_do03_counttower64_calibrated_loglinear_probaware,train,24,1,1,1.0,1.0,2812,1.0,2.8797753800262003,1.0,1.4627664841782755,2.1300266840329543,4.967233211371133,1.8797753800262005,0.4627664841782756,2.8797753800262003
mlp_multitask_v1_enriched_h256_128_64_do03_counttower64_calibrated_loglinear_probaware,train,24,2,2-5,2.0,5.0,3047,3.0380702330160814,4.59053632912783,3.0,2.424670592524502,3.2904768739112953,6.241575684469171,1.552466096111749,-0.3818291554742417,1.5110040180244677
mlp_multitask_v1_enriched_h256_128_64_do03_counttower64_calibrated_loglinear_probaware,train,24,3,6-10,6.0,10.0,1180,7.684745762711865,7.575727376801699,8.0,4.556990923151588,5.815874591423414,8.214338051593224,-0.10901838591016567,-2.8744828044742006,0.9858136639419943
mlp_multitask_v1_enriched_h256_128_64_do03_counttower64_calibrated_loglinear_probaware,train,24,4,11-20,11.0,20.0,1100,14.734545454545454,11.61140337096615,14.0,7.073807082731152,10.316269983537737,13.275376373188188,-3.123142083579305,-7.191913583990441,0.7880394686613256
mlp_multitask_v1_enriched_h256_128_64_do03_counttower64_calibrated_loglinear_probaware,train,24,5,21-50,21.0,50.0,1330,33.05187969924812,18.132551458419897,32.0,12.878604408450737,20.611014879003267,26.335632966499812,-14.919328240828223,-18.255532749283837,0.5486087818125631
mlp_multitask_v1_enriched_h256_128_64_do03_counttower64_calibrated_loglinear_probaware,train,24,6,51-100,51.0,100.0,549,66.81967213114754,27.435246900473224,64.0,20.97398922082592,42.59376828314024,47.29575812388738,-39.38442523067432,-43.8736516207632,0.4105863741238633
mlp_multitask_v1_enriched_h256_128_64_do03_counttower64_calibrated_loglinear_probaware,train,24,7,101-300,101.0,300.0,162,160.21604938271605,22.985514624943697,146.5,18.311391218576794,137.23053475777238,148.9811348948621,-137.23053475777238,-126.58509561416824,0.1434657433727944
mlp_multitask_v1_enriched_h256_128_64_do03_counttower64_calibrated_loglinear_probaware,train,24,8,300+,301.0,inf,19,510.42105263157896,31.746005215871055,346.0,23.618817241474808,478.67504741570787,568.9294797269365,-478.67504741570787,-324.35118533457455,0.062195720674525674
mlp_multitask_v1_enriched_h256_128_64_do03_counttower64_calibrated_loglinear_probaware,val,24,0,0,0.0,0.0,910,0.0,1.4318989202454153,0.0,0.8945652047200041,1.4318989202454153,2.8677413931766953,1.4318989202454153,0.8945652047200041,
mlp_multitask_v1_enriched_h256_128_64_do03_counttower64_calibrated_loglinear_probaware,val,24,1,1,1.0,1.0,215,1.0,2.616175051219097,1.0,1.3791723512512504,1.8781215168168341,4.1506359189714965,1.6161750512190975,0.3791723512512504,2.616175051219097
