model_name,split,horizon,bucket_order,count_bucket,bucket_lower,bucket_upper,n_obs,mean_true,mean_pred,median_true,median_pred,mae,rmse,mean_error,median_error,mean_pred_over_mean_true
mlp_multitask_v1_enriched_h256_128_64_do03_counttower64,train,24,0,0,0.0,0.0,12832,0.0,0.7386890915422781,0.0,0.2980230003595352,0.7386890915422781,1.8731798540500515,0.7386890915422781,0.2980230003595352,
mlp_multitask_v1_enriched_h256_128_64_do03_counttower64,train,24,1,1,1.0,1.0,2812,1.0,1.3957772308862524,1.0,0.5849660933017731,1.1731748952640282,2.705423321867579,0.39577723088625233,-0.41503390669822693,1.3957772308862524
mlp_multitask_v1_enriched_h256_128_64_do03_counttower64,train,24,2,2-5,2.0,5.0,3047,3.0380702330160814,2.31687108235581,3.0,1.075115442276001,2.4383423532550945,3.6508931116952708,-0.7211991506602712,-1.5145310759544373,0.7626127458072975
mlp_multitask_v1_enriched_h256_128_64_do03_counttower64,train,24,3,6-10,6.0,10.0,1180,7.684745762711865,3.989685283620226,8.0,2.243688702583313,5.379095977500586,6.1073465258945,-3.695060479091638,-5.068057060241699,0.5191694568451551
mlp_multitask_v1_enriched_h256_128_64_do03_counttower64,train,24,4,11-20,11.0,20.0,1100,14.734545454545454,6.431898665577173,14.0,3.5915489196777344,10.364929091131145,11.725447257678594,-8.302646788968282,-10.281162053346634,0.4365182954179967
mlp_multitask_v1_enriched_h256_128_64_do03_counttower64,train,24,5,21-50,21.0,50.0,1330,33.05187969924812,10.580629363090248,32.0,6.833390951156616,24.42340058348793,27.928304492734217,-22.471250336157873,-23.24173617362976,0.3201218647582982
mlp_multitask_v1_enriched_h256_128_64_do03_counttower64,train,24,6,51-100,51.0,100.0,549,66.81967213114754,16.51491293837681,64.0,11.639267921447754,50.908260629042466,54.07565940003004,-50.30475919277073,-51.50937080383301,0.24715644976471673
mlp_multitask_v1_enriched_h256_128_64_do03_counttower64,train,24,7,101-300,101.0,300.0,162,160.21604938271605,13.471514203574186,146.5,9.8198881149292,146.74453517914185,156.94009455828558,-146.74453517914185,-132.48559774458408,0.08408342519664874
mlp_multitask_v1_enriched_h256_128_64_do03_counttower64,train,24,8,300+,301.0,inf,19,510.42105263157896,19.14116339620791,346.0,13.014902114868164,491.27988923537106,579.5973538338698,-491.27988923537106,-332.9584684371948,0.03750073257660861
mlp_multitask_v1_enriched_h256_128_64_do03_counttower64,val,24,0,0,0.0,0.0,910,0.0,0.6323118167673494,0.0,0.3321095108985901,0.6323118167673494,1.5460458724013295,0.6323118167673494,0.3321095108985901,
mlp_multitask_v1_enriched_h256_128_64_do03_counttower64,val,24,1,1,1.0,1.0,215,1.0,1.240572218631589,1.0,0.5569186806678772,1.054301865086999,2.1517344420110343,0.24057221863158915,-0.4430813193321228,1.240572218631589
mlp_multitask_v1_enriched_h256_128_64_do03_counttower64,val,24,2,2-5,2.0,5.0,197,2.9390862944162435,1.7112542405573246,3.0,0.9806904792785645,1.9449458876010126,2.3648641184082537,-1.2278320538589191,-1.5059592723846436,0.5822402165626821
mlp_multitask_v1_enriched_h256_128_64_do03_counttower64,val,24,3,6-10,6.0,10.0,118,7.584745762711864,2.3415525121203924,7.0,1.2669848203659058,5.798017821069491,6.241916034519063,-5.243193250591472,-5.502175480127335,0.30871865522928077
mlp_multitask_v1_enriched_h256_128_64_do03_counttower64,val,24,4,11-20,11.0,20.0,84,14.94047619047619,2.7301348485052586,15.0,1.5505454540252686,12.292071162767353,12.938580377324682,-12.210341341970931,-11.641310080885887,0.18273412531828026
mlp_multitask_v1_enriched_h256_128_64_do03_counttower64,val,24,5,21-50,21.0,50.0,103,33.786407766990294,5.661803926151355,33.0,2.066241502761841,28.324461830400146,29.836860581067516,-28.124603840838937,-28.617433071136475,0.16757638057287055
mlp_multitask_v1_enriched_h256_128_64_do03_counttower64,val,24,6,51-100,51.0,100.0,48,72.4375,3.573722968964527,71.0,1.7335679531097412,68.86377703103547,70.82376742022176,-68.86377703103547,-64.61799710988998,0.049335261003824356
mlp_multitask_v1_enriched_h256_128_64_do03_counttower64,val,24,7,101-300,101.0,300.0,69,196.69565217391303,3.7713948710673098,209.0,1.340408205986023,192.92425730284575,200.08780855285247,-192.92425730284575,-206.86626505851746,0.01917375818623964
mlp_multitask_v1_enriched_h256_128_64_do03_counttower64,test,24,0,0,0.0,0.0,1867,0.0,0.5831087073904822,0.0,0.3348013162612915,0.5831087073904822,1.0356555162981171,0.5831087073904822,0.3348013162612915,
mlp_multitask_v1_enriched_h256_128_64_do03_counttower64,test,24,1,1,1.0,1.0,463,1.0,1.2786928288011006,1.0,0.5620078444480896,1.1043071135170517,3.4390229690415177,0.2786928288011005,-0.4379921555519104,1.2786928288011006
mlp_multitask_v1_enriched_h256_128_64_do03_counttower64,test,24,2,2-5,2.0,5.0,454,3.0220264317180616,1.653530884845929,3.0,0.738439679145813,2.338989443289288,2.9141821677761888,-1.3684955468721327,-1.6813975870609283,0.5471596368221952
mlp_multitask_v1_enriched_h256_128_64_do03_counttower64,test,24,3,6-10,6.0,10.0,164,7.7682926829268295,2.5322231593110214,8.0,1.1567351818084717,5.831262206068126,6.2889735266983875,-5.236069523615808,-5.770373195409775,0.3259690723131927
mlp_multitask_v1_enriched_h256_128_64_do03_counttower64,test,24,4,11-20,11.0,20.0,155,14.845161290322581,3.1964713144686914,14.0,1.332467555999756,12.147467562267858,12.805664455092918,-11.64868997585389,-12.31828224658966,0.21532075347355373
mlp_multitask_v1_enriched_h256_128_64_do03_counttower64,test,24,5,21-50,21.0,50.0,179,33.608938547486034,3.658031177420856,32.0,1.6194853782653809,30.22144642472267,31.69583729268801,-29.950907370065178,-29.38051462173462,0.10884102073775485
mlp_multitask_v1_enriched_h256_128_64_do03_counttower64,test,24,6,51-100,51.0,100.0,161,73.0,5.443487575150424,74.0,2.294996976852417,67.55651242484957,69.55697240435474,-67.55651242484957,-67.51993525028229,0.07456832294726609
mlp_multitask_v1_enriched_h256_128_64_do03_counttower64,test,24,7,101-300,101.0,300.0,64,131.5,11.672786942217499,123.0,3.0212610960006714,125.95546031882986,130.43396141012084,-119.8272130577825,-117.3414785861969,0.08876644062522814
mlp_multitask_v1_enriched_h256_128_64_do03_counttower64,test,24,8,300+,301.0,inf,6,370.6666666666667,10.635440548261007,379.0,7.044247388839722,360.03122611840564,360.5155502240638,-360.03122611840564,-363.0220915079117,0.028692735292071062
mlp_multitask_v1_enriched_h256_128_64_do03_counttower64,train,72,0,0,0.0,0.0,11434,0.0,1.0331956185126807,0.0,0.3862909376621246,1.0331956185126807,2.9447842202199896,1.0331956185126807,0.3862909376621246,
mlp_multitask_v1_enriched_h256_128_64_do03_counttower64,train,72,1,1,1.0,1.0,3067,1.0,1.6420066434419966,1.0,0.6611493229866028,1.3672860018522723,3.897897663652348,0.6420066434419968,-0.3388506770133972,1.6420066434419966
mlp_multitask_v1_enriched_h256_128_64_do03_counttower64,train,72,2,2-5,2.0,5.0,3183,3.021049324536601,2.8969667522605955,3.0,1.1922476291656494,2.779775578536835,5.220897176586249,-0.12408257227600501,-1.3693729043006897,0.958927326585428
mlp_multitask_v1_enriched_h256_128_64_do03_counttower64,train,72,3,6-10,6.0,10.0,1267,7.638516179952644,5.119470510846438,7.0,2.5061142444610596,5.983076798264305,7.90179633118384,-2.5190456691062066,-4.783428192138672,0.6702179311058521
mlp_multitask_v1_enriched_h256_128_64_do03_counttower64,train,72,4,11-20,11.0,20.0,1204,14.788205980066445,7.176776085605851,14.0,3.526423692703247,10.799803746870388,12.799449276224879,-7.611429894460594,-10.121207028627396,0.48530403858856747
mlp_multitask_v1_enriched_h256_128_64_do03_counttower64,train,72,5,21-50,21.0,50.0,1489,32.97783747481531,11.928619634612764,32.0,6.121415615081787,24.16340199240988,29.296489743168706,-21.049217840202548,-23.10301971435547,0.36171624788079193
mlp_multitask_v1_enriched_h256_128_64_do03_counttower64,train,72,6,51-100,51.0,100.0,894,70.52796420581656,23.258674914021487,68.0,14.473708152770996,51.805214668397,58.760438277373964,-47.26928929179507,-51.9337300658226,0.3297794736588087
mlp_multitask_v1_enriched_h256_128_64_do03_counttower64,train,72,7,101-300,101.0,300.0,425,145.4564705882353,30.196909177794176,130.0,20.193958282470703,116.27285748839378,129.55821667686936,-115.25956141044112,-105.15759754180908,0.20760100293700195
mlp_multitask_v1_enriched_h256_128_64_do03_counttower64,train,72,8,300+,301.0,inf,68,528.6911764705883,22.977183798656743,434.5,15.199194431304932,505.71399267193146,584.9420124552611,-505.71399267193146,-407.12940788269043,0.0434605017470629
mlp_multitask_v1_enriched_h256_128_64_do03_counttower64,val,72,0,0,0.0,0.0,811,0.0,0.9233951164930875,0.0,0.4513288140296936,0.9233951164930875,2.63216263011421,0.9233951164930875,0.4513288140296936,
mlp_multitask_v1_enriched_h256_128_64_do03_counttower64,val,72,1,1,1.0,1.0,246,1.0,1.530812711008196,1.0,0.6558806002140045,1.2644405503098557,3.338116993939656,0.5308127110081959,-0.3441193997859955,1.530812711008196
