model_name,split,horizon,capped_mae,capped_rmse,n_obs,count_cap,mean_true_capped,mean_pred_capped,n_true_at_or_above_cap,n_pred_at_or_above_cap,n_correct_at_or_above_cap,n_missed_at_or_above_cap,n_false_alarm_at_or_above_cap
mlp_multitask_v1_enriched_h256_128_64_do03_counttower64,train,24,5.535882119234618,19.141054400968276,23031,300.0,6.497459945291129,2.5153575186597816,19,0,0,19,0
mlp_multitask_v1_enriched_h256_128_64_do03_counttower64,val,24,12.865015879922778,42.28167633155621,1744,300.0,13.459288990825687,1.5480557008979654,0,0,0,0,0
mlp_multitask_v1_enriched_h256_128_64_do03_counttower64,test,24,8.989329389878913,27.161176518753226,3513,300.0,9.506120125249074,1.6165942458349467,6,1,0,6,1
mlp_multitask_v1_enriched_h256_128_64_do03_counttower64,train,72,8.867231918140028,31.639052297090327,23031,500.0,10.546741348617081,4.082493727737456,18,2,0,18,2
mlp_multitask_v1_enriched_h256_128_64_do03_counttower64,val,72,19.67520927451551,62.46831396087736,1744,500.0,20.534977064220183,2.3830960679355018,0,0,0,0,0
mlp_multitask_v1_enriched_h256_128_64_do03_counttower64,test,72,13.517440214394725,41.243703206011425,3513,500.0,14.311699402220324,2.5125415293712443,5,1,0,5,1
