model_name,split,horizon,mae,rmse,n_obs,mean_true,mean_pred
mlp_multitask_v1_enriched_clip_lr3e4,train,24,5.867676284183685,27.44939564046795,23031,6.6710520602665975,2.9287070057553484
mlp_multitask_v1_enriched_clip_lr3e4,val,24,12.877891916205394,42.295604335750134,1744,13.459288990825687,1.555613732497769
mlp_multitask_v1_enriched_clip_lr3e4,test,24,9.430416115502009,34.00495295509083,3513,9.626814688300598,2.0902401782604945
mlp_multitask_v1_enriched_clip_lr3e4,train,72,9.700794391610792,54.452185161728906,23031,10.858929269245799,5.014263359108678
mlp_multitask_v1_enriched_clip_lr3e4,val,72,19.743048888281784,62.610762916023276,1744,20.534977064220183,2.2810329557333726
mlp_multitask_v1_enriched_clip_lr3e4,test,72,14.557116824597713,63.50304080723466,3513,14.423569598633646,3.504098257639716
