epoch,train_total_loss,train_prob_loss,train_count_loss,val_total_loss,val_prob_loss,val_count_loss,epoch_seconds
1,1.1259470558535039,0.62593933572047,0.5000077196244882,1.2223204811778636,0.6016707097718476,0.6206497692186898,0.29033629200421274
2,1.0089400586145667,0.5775706062024552,0.4313694499276142,1.163337600340537,0.5816899423205525,0.5816476591136477,0.22961779200704768
3,0.9770630431503393,0.5641016928389061,0.4129613506543456,1.1765301643161599,0.5774755811472552,0.5990545875435576,0.18060333299217746
4,0.9607297948447049,0.556647146583033,0.4040826454575542,1.1966660197721708,0.5849101505148302,0.611755881287636,0.3248733750078827
5,0.9470815052248457,0.5511400677539684,0.39594143747087723,1.1764600687070723,0.5804585841817593,0.596001499836598,0.32607875001849607
6,0.9365665445025064,0.5466276898913499,0.3899388565871083,1.2020423860724914,0.5903334573868217,0.6117089191161165,0.2520498330122791
7,0.9347701441123127,0.545691576706313,0.3890785708726501,1.1683943238827066,0.5790798259437631,0.5893145003996858,0.189737958018668
8,0.9226333345873503,0.5405869396239821,0.38204639677368685,1.1747517963068201,0.5769190372677024,0.5978327634137705,0.1957194579881616
9,0.9175194332206364,0.5384283271258655,0.37909110675730356,1.1839623812141769,0.5795966775045482,0.6043657007020548,0.34986491600284353
10,0.9110754855932434,0.5357073038980791,0.37536817912785025,1.180855097027,0.5727533189528579,0.6081017717855786,0.193310082948301
11,0.9079529734700498,0.5344467745131207,0.3735061992998414,1.246143945313375,0.6037996799573986,0.6423442686369659,0.18293916597031057
12,0.8986470053133945,0.5309964786272147,0.367650526863459,1.1736618925672058,0.5722063440795339,0.6014555550496513,0.3035231669782661
13,0.8954259678511152,0.5287225174974264,0.3667034497028022,1.2051640016223313,0.5845319147503704,0.6206320999959193,0.2620738749974407
14,0.8894522199980224,0.5274312236244765,0.36202099621955874,1.2220638416229037,0.5943199024287933,0.627743952318069,0.18995104200439528
15,0.8879482708390963,0.5253257611401304,0.36262250995906176,1.208217703968013,0.5855820878930048,0.6226355884600123,0.22323508298723027
16,0.8791727274313383,0.5225442365115343,0.35662849049407513,1.2198090290804522,0.5917235219150508,0.6280855246640127,0.17991449998226017
17,0.8818210186781706,0.5229654575671672,0.3588555601288506,1.16820908467704,0.5704974176686838,0.5977116700159301,0.18299233401194215
18,0.8771506708229697,0.5208783302891089,0.35627233912597894,1.2190751745066513,0.5930792749474901,0.6259959104957931,0.18689050001557916
19,0.8734037061265773,0.5192078022920926,0.3541959027695152,1.2140650984344132,0.586316413835648,0.6277487053783661,0.1872574160224758
20,0.8682383738241733,0.5170991066756735,0.351139268307932,1.211696152293354,0.5895719845360572,0.6221241767800182,0.2474531250190921
21,0.8667474734499008,0.5164587996189347,0.3502886721629884,1.2046578181992977,0.5840911356680983,0.6205666770628833,0.18079304200364277
22,0.8631722057959389,0.5145077670121554,0.348664437293085,1.2075348698764765,0.5897608858729722,0.6177739905654838,0.2273804169963114
23,0.8620887743469678,0.513441267339019,0.3486475045234515,1.2249109138042555,0.5989905409856674,0.6259203870362098,0.18771041597938165
