model_name,split,horizon,mae,rmse,n_obs,mean_true,mean_pred
mlp_cp_t64,train,24,5.7367780452702455,22.786706289054727,23031,6.6710520602665975,4.1950387541599525
mlp_cp_t64,val,24,12.904438176677228,41.64324763883793,1744,13.459288990825687,2.719746013067304
mlp_cp_t64,test,24,9.238193945301214,27.779796976143956,3513,9.626814688300598,2.680149846476705
mlp_cp_t64,train,72,9.152927508614503,36.909698620037986,23031,10.858929269245799,6.541077598842383
mlp_cp_t64,val,72,19.747878061876623,61.55435142727265,1744,20.534977064220183,4.020504072475153
mlp_cp_t64,test,72,13.839114990985669,41.4684812681327,3513,14.423569598633646,4.006355964154251
