model_name,split,horizon,bucket_order,count_bucket,bucket_lower,bucket_upper,n_obs,mean_true,mean_pred,median_true,median_pred,mae,rmse,mean_error,median_error,mean_pred_over_mean_true
mlp_cp_t64,train,24,0,0,0.0,0.0,12832,0.0,1.678072727004303,0.0,0.7052554786205292,1.678072727004303,3.5530849372310023,1.678072727004303,0.7052554786205292,
mlp_cp_t64,train,24,1,1,1.0,1.0,2812,1.0,2.49069890262,1.0,1.3072965145111084,1.8576831197336974,4.2108077752143975,1.49069890262,0.3072965145111084,2.49069890262
mlp_cp_t64,train,24,2,2-5,2.0,5.0,3047,3.0380702330160814,3.7624035634352295,3.0,2.053326368331909,2.7493326450332214,4.855809994384264,0.724333330419148,-0.6554405689239502,1.2384188892499886
mlp_cp_t64,train,24,3,6-10,6.0,10.0,1180,7.684745762711865,6.215562077384379,8.0,3.843217134475708,5.182460504782907,6.504210500146759,-1.4691836853274856,-3.6545547246932983,0.8088181794567233
mlp_cp_t64,train,24,4,11-20,11.0,20.0,1100,14.734545454545454,9.756637415953659,14.0,6.5752270221710205,9.128620083047585,10.860750986860825,-4.977908038591797,-7.819003105163574,0.6621607328201521
mlp_cp_t64,train,24,5,21-50,21.0,50.0,1330,33.05187969924812,15.729933618020294,32.0,13.158884525299072,19.40671187545124,22.55554937956535,-17.321946081227825,-18.52837359905243,0.47591646106524244
mlp_cp_t64,train,24,6,51-100,51.0,100.0,549,66.81967213114754,23.73195900964824,64.0,20.596574783325195,43.65695786758416,47.18316455387019,-43.087713121499306,-44.495423316955566,0.3551642540698093
mlp_cp_t64,train,24,7,101-300,101.0,300.0,162,160.21604938271605,24.281268041810872,146.5,22.34900665283203,135.93478134090518,146.45043559266227,-135.93478134090518,-124.83888590335846,0.1515532815555138
mlp_cp_t64,train,24,8,300+,301.0,inf,19,510.42105263157896,35.00696327811793,346.0,22.58522605895996,475.414089353461,567.6229662894299,-475.414089353461,-326.9637928009033,0.0685844815718953
mlp_cp_t64,val,24,0,0,0.0,0.0,910,0.0,1.425748446374968,0.0,0.7986613512039185,1.425748446374968,2.74056585344292,1.425748446374968,0.7986613512039185,
mlp_cp_t64,val,24,1,1,1.0,1.0,215,1.0,2.135237638860248,1.0,1.3758050203323364,1.4854423673000448,2.7575685785042836,1.1352376388602479,0.3758050203323364,2.135237638860248
mlp_cp_t64,val,24,2,2-5,2.0,5.0,197,2.9390862944162435,3.11632356357756,3.0,2.175227165222168,1.9667812041976125,3.2612764702629113,0.17723726916131635,-0.5860893726348877,1.0603035268130905
