model_name,split,horizon,mae,rmse,n_obs,mean_true,mean_pred,positive_count_rate
mlp_cp_t64_calibrated_loglinear_probaware,train,24,11.628397938185765,34.54172526613023,10199,15.064320031375624,11.725104652140436,0.442837914115757
mlp_cp_t64_calibrated_loglinear_probaware,val,24,25.385546181352648,59.56125398388851,834,28.145083932853716,5.290358432282438,0.4782110091743119
mlp_cp_t64_calibrated_loglinear_probaware,test,24,18.380350397252524,41.70747457769278,1646,20.54617253948967,5.77038304631919,0.46854540278963847
mlp_cp_t64_calibrated_loglinear_probaware,train,72,16.41472739616827,51.84434787164921,11597,21.56523238768647,14.782751167412028,0.5035387086969736
mlp_cp_t64_calibrated_loglinear_probaware,val,72,35.144374790507804,83.59435795805568,933,38.38478027867095,6.747939985935033,0.5349770642201835
mlp_cp_t64_calibrated_loglinear_probaware,test,72,24.750824936489263,59.01305426204378,1863,27.198067632850243,7.3663308128815626,0.5303159692570453
