model_name,split,horizon,n_total,n_available,target_available_rate,mae,rmse,n_obs,mean_true,mean_pred
mlp_pm_bce_countw05_enriched_256_128_64_d03_lr3e4,train,24,23031,10199,0.442837914115757,0.41770389810661807,0.5517822139312843,10199,5.0632385527992945,5.07716194476926
mlp_pm_bce_countw05_enriched_256_128_64_d03_lr3e4,val,24,1744,834,0.4782110091743119,0.5589327957189911,0.7397588540748041,834,5.189796163069544,4.966918820671612
mlp_pm_bce_countw05_enriched_256_128_64_d03_lr3e4,test,24,3513,1646,0.46854540278963847,0.4699829777267543,0.6168246600082157,1646,5.01546807658558,4.93707935285742
mlp_pm_bce_countw05_enriched_256_128_64_d03_lr3e4,train,72,23031,11597,0.5035387086969736,0.431424301956978,0.573237471120994,11597,5.096750883849272,5.107156713286217
mlp_pm_bce_countw05_enriched_256_128_64_d03_lr3e4,val,72,1744,933,0.5349770642201835,0.562865709456089,0.7359658061143834,933,5.199603429796356,4.993025956302082
mlp_pm_bce_countw05_enriched_256_128_64_d03_lr3e4,test,72,3513,1863,0.5303159692570453,0.47198104084080605,0.6175767064047852,1863,5.041175767074538,4.97048491159563
