model_name,split,horizon,n_total,n_available,target_available_rate,mae,rmse,n_obs,mean_true,mean_pred
mlp_pm_probtower64_magtower64_bce_countw05_enriched_256_128_64_d03_lr3e4,train,24,23031,10199,0.442837914115757,0.42406366090001235,0.5639198835472519,10199,5.0632385527992945,4.9903593713693235
mlp_pm_probtower64_magtower64_bce_countw05_enriched_256_128_64_d03_lr3e4,val,24,1744,834,0.4782110091743119,0.56830497378068,0.7626158507770803,834,5.189796163069544,4.906289763301968
mlp_pm_probtower64_magtower64_bce_countw05_enriched_256_128_64_d03_lr3e4,test,24,3513,1646,0.46854540278963847,0.4797393086606786,0.6298825974633234,1646,5.01546807658558,4.872378000367166
mlp_pm_probtower64_magtower64_bce_countw05_enriched_256_128_64_d03_lr3e4,train,72,23031,11597,0.5035387086969736,0.4405644595011397,0.5883939352107502,11597,5.096750883849272,5.025381369457951
mlp_pm_probtower64_magtower64_bce_countw05_enriched_256_128_64_d03_lr3e4,val,72,1744,933,0.5349770642201835,0.5734365212112377,0.7561042167485942,933,5.199603429796356,4.939607125258778
mlp_pm_probtower64_magtower64_bce_countw05_enriched_256_128_64_d03_lr3e4,test,72,3513,1863,0.5303159692570453,0.4820269183445662,0.6314634698342217,1863,5.041175767074538,4.91503059051399
