model_name,split,horizon,n_total,n_available,target_available_rate,mae,rmse,n_obs,mean_true,mean_pred
mlp_pm_bce_countw05_enriched_256_128_64_d03_lr3e4_alltasks,train,24,23031,10199,0.442837914115757,0.4238471915593556,0.5564293790148375,10199,5.0632385527992945,5.087350694230169
mlp_pm_bce_countw05_enriched_256_128_64_d03_lr3e4_alltasks,val,24,1744,834,0.4782110091743119,0.553268357581086,0.7263636670280569,834,5.189796163069544,5.021562477381681
mlp_pm_bce_countw05_enriched_256_128_64_d03_lr3e4_alltasks,test,24,3513,1646,0.46854540278963847,0.48211932044633177,0.6311869895064369,1646,5.015164309878411,4.983084578415603
mlp_pm_bce_countw05_enriched_256_128_64_d03_lr3e4_alltasks,train,72,23031,11597,0.5035387086969736,0.44016288614400534,0.5793293020291447,11597,5.096750883849272,5.122606881108687
mlp_pm_bce_countw05_enriched_256_128_64_d03_lr3e4_alltasks,val,72,1744,933,0.5349770642201835,0.557562533763955,0.7211645998173059,933,5.199603429796356,5.051679321935067
mlp_pm_bce_countw05_enriched_256_128_64_d03_lr3e4_alltasks,test,72,3513,1863,0.5303159692570453,0.4861083953270392,0.6326434792223959,1863,5.040907382748183,5.021727295761395
