model_name,split,horizon,n_total,n_available,target_available_rate,mae,rmse,n_obs,mean_true,mean_pred
mlp_pm_bce_countw05_enriched_256_128_64_d03_lr3e4_alltasks,train,24,23031,10199,0.442837914115757,0.4209448326034913,0.5641271645890754,10199,5.0632385527992945,4.941613884577156
mlp_pm_bce_countw05_enriched_256_128_64_d03_lr3e4_alltasks,val,24,1744,834,0.4782110091743119,0.5696869102656412,0.7695501570578663,834,5.189796163069544,4.881955527859055
mlp_pm_bce_countw05_enriched_256_128_64_d03_lr3e4_alltasks,test,24,3513,1646,0.46854540278963847,0.4836305805566238,0.6390672017221438,1646,5.015164309878411,4.847079803413493
mlp_pm_bce_countw05_enriched_256_128_64_d03_lr3e4_alltasks,train,72,23031,11597,0.5035387086969736,0.43754193830132393,0.5905025444389338,11597,5.096750883849272,4.960122629189333
mlp_pm_bce_countw05_enriched_256_128_64_d03_lr3e4_alltasks,val,72,1744,933,0.5349770642201835,0.5757341319265089,0.767957827989375,933,5.199603429796356,4.8969321026040555
mlp_pm_bce_countw05_enriched_256_128_64_d03_lr3e4_alltasks,test,72,3513,1863,0.5303159692570453,0.4867005694117133,0.6420113210170217,1863,5.040907382748183,4.870133420055551
