model_name,split,horizon,capped_mae,capped_rmse,n_obs,count_cap,mean_true_capped,mean_pred_capped,n_true_at_or_above_cap,n_pred_at_or_above_cap,n_correct_at_or_above_cap,n_missed_at_or_above_cap,n_false_alarm_at_or_above_cap
mlp_pm_bce_countw05_enriched_256_128_64_d03_lr3e4_alltasks,train,24,5.499389010088607,19.073301607097232,23031,300.0,6.497459945291129,2.1684745539939083,19,0,0,19,0
mlp_pm_bce_countw05_enriched_256_128_64_d03_lr3e4_alltasks,val,24,12.867242152194937,42.22322524743976,1744,300.0,13.459288990825687,1.588271799662851,0,0,0,0,0
mlp_pm_bce_countw05_enriched_256_128_64_d03_lr3e4_alltasks,test,24,8.889932603552358,26.827558123588357,3513,300.0,9.506120125249074,1.721709660917055,6,0,0,6,0
mlp_pm_bce_countw05_enriched_256_128_64_d03_lr3e4_alltasks,train,72,8.826057370679875,31.4299936949876,23031,500.0,10.546741348617081,3.4201749386556624,18,0,0,18,0
mlp_pm_bce_countw05_enriched_256_128_64_d03_lr3e4_alltasks,val,72,19.638619141292185,62.401455737901784,1744,500.0,20.534977064220183,2.3777250223130912,0,0,0,0,0
mlp_pm_bce_countw05_enriched_256_128_64_d03_lr3e4_alltasks,test,72,13.344221925042165,40.59859766217512,3513,500.0,14.311699402220324,2.6249449203994977,5,0,0,5,0
