epoch,train_total_loss,train_prob_loss,train_count_loss,train_magnitude_loss,val_total_loss,val_prob_loss,val_count_loss,val_magnitude_loss,epoch_seconds
1,2.853728753606018,0.6974622001453744,0.6256798336656099,1.5305867050653283,1.6442437412541941,0.6615723027001827,0.6732773961277183,0.3093940344972348,0.4940493750036694
2,1.5880873627298473,0.6466251882856251,0.5317200126942362,0.4097421664110066,1.5067749887431434,0.6075678035753582,0.6213723144946842,0.2778348710832246,0.4147057910449803
3,1.478330611582197,0.6110116341965917,0.48887137492259664,0.37844760387089055,1.445857512841531,0.5850297529763038,0.5951090408574551,0.26571873390893325,0.4031843750271946
4,1.4064690094216503,0.5927319521599848,0.45560100378171736,0.358136053314315,1.4467378592272417,0.5786848817396602,0.5870913384704415,0.28096162862733964,0.393712124961894
5,1.3666286314777585,0.5864800540728335,0.44129914102917267,0.33884943325201444,1.4458001862972154,0.5856423421737251,0.5998393428435019,0.2603184616346972,0.34046645800117403
6,1.3409667885840253,0.5813937361575483,0.429554958788852,0.3300180927382886,1.4065181235654638,0.5767664570327199,0.5801587539528488,0.24959293158229337,0.35479058302007616
7,1.323177386052775,0.5784199595539348,0.4245287379237233,0.3202286892376494,1.4317460956923458,0.5829850271207477,0.594497375258612,0.2542636801890277,0.4563396659796126
8,1.3094385914680189,0.5741816315497316,0.4208468411576033,0.3144101190091339,1.436505210508994,0.5871165274480067,0.5984019771081592,0.2509867107376046,0.34489237499656156
9,1.28777700102307,0.5673401144121168,0.41565018232084794,0.3047867043612757,1.4345510454352843,0.5798505763395116,0.5875808607547655,0.26711962283204455,0.4486480840132572
10,1.2847324185890865,0.5686484780423801,0.4109206252001602,0.30516331656550283,1.410525119632756,0.579289203390069,0.5851673070990712,0.2460686299232168,0.3507111250073649
11,1.2717245197975238,0.5634943864756631,0.40882048509666596,0.2994096465921553,1.4118267833639722,0.5805639072295723,0.588625393876242,0.24263747596959456,0.39582425000844523
12,1.254412906815136,0.5613253518811558,0.4041994789361405,0.2888880744243247,1.4641881612462735,0.5841607828752711,0.5968842074411724,0.28314317735510136,0.3619343329919502
13,1.245407939479994,0.5574730868257964,0.40297390233108554,0.28496094858978693,1.4685125066599716,0.5852154985480352,0.5964401648678911,0.2868568673046357,0.3353145829751156
14,1.2340374474550089,0.5553226515668218,0.3982698410991415,0.2804449536412596,1.395794966898927,0.5779214331863123,0.5816806103658239,0.23619292184300378,0.4095770830172114
15,1.2333608010087371,0.5548704986120708,0.3974637825251154,0.28102652499453284,1.4458285952926775,0.5760955006704418,0.5821150694418391,0.2876180043324418,0.4528050000080839
16,1.2200892699080021,0.5526594065573278,0.39555674174740746,0.27187311727351254,1.4452750923436717,0.5936913293436032,0.6099402724056069,0.24164351492846778,0.36347433301853016
17,1.2097918122513802,0.5514138447239916,0.39311328578060517,0.2652646830776719,1.4557641635247327,0.5818862619749997,0.5927064172718504,0.28117146903495177,0.39241516700712964
18,1.1994873024524875,0.5500167752310196,0.39066005966116873,0.2588104686485609,1.4165891540159874,0.583830769455761,0.5925054552905057,0.2402529071230407,0.3699120419914834
19,1.1976707841450307,0.5467072030335521,0.387268289934667,0.2636952962169769,1.43103722038619,0.5888888010191261,0.6007901402788425,0.24135829002485362,0.40162145800422877
20,1.185928666282635,0.54397310951727,0.3834939454392839,0.25846161362165315,1.4257091852503085,0.5851688078784067,0.5957948926391952,0.24474547940109848,0.3951537079992704
21,1.1893284416950292,0.5454227323020919,0.38779730915681637,0.2561084003901079,1.480457500580254,0.6056498557055762,0.6207730299835905,0.2540345875495071,0.35186645801877603
22,1.1776774975879902,0.5439739027888127,0.38199609454903505,0.25170750422533833,1.4577586618038492,0.5904888723968366,0.5993377096062407,0.26793206954767945,0.39919220900628716
23,1.1746377628690479,0.5435146725776633,0.3839359870241549,0.24718710016807802,1.457502483227931,0.5947081643507022,0.6111311696538138,0.25166313938044627,0.3433067920268513
24,1.169344725675493,0.5420229162448735,0.38201462299228206,0.24530718113807637,1.427380824307783,0.5816971938544457,0.5917793102220658,0.25390430396303126,0.40949637501034886
25,1.1653486416180556,0.5407371747188875,0.37999000719763276,0.24462145256766338,1.427464442515592,0.5823618370458621,0.5875120398101457,0.2575905592343129,0.33954200003063306
26,1.1571134073404776,0.5391717842634437,0.37767831882255104,0.24026330740151292,1.4114843978794342,0.5859605970732663,0.5984028996130742,0.22712088888938273,0.4592536659911275
27,1.1473775336582048,0.5365668131165279,0.373597071654611,0.23721365401004774,1.4287578808058292,0.5899793292404315,0.6029478166628321,0.23583074187466857,0.3600259580416605
28,1.1533254696229562,0.5376355176788556,0.3766922549795925,0.23899769300095844,1.4085829028295815,0.577885585093717,0.586825783373019,0.2438715278008662,0.39345441700425
29,1.1417870605707758,0.5361966185669971,0.37149812347061506,0.2340923221654471,1.4372708923226103,0.5907723509937252,0.6104315396295775,0.2360670083979948,0.34116004197858274
30,1.1379720414643963,0.5351964760958142,0.3703666401033131,0.23240892775558958,1.4247524924234514,0.5809177378995702,0.5948002548939592,0.24903450878935124,0.4171332910191268
31,1.128057700885496,0.5305839160604527,0.36673482349048214,0.23073896082601547,1.4098507909599793,0.5802981290248556,0.5929714720183556,0.23658118704590228,0.34867570898495615
32,1.1212800955017734,0.5306084549492768,0.36505165178281684,0.22561998588274557,1.4406878275608799,0.5873475337247236,0.6070735235826685,0.24626678077999606,0.447701541997958
33,1.1157019807856463,0.5292213570641496,0.364020549980818,0.222460071350644,1.4532097567112074,0.5890938699792284,0.6085495642565806,0.2555663141362164,0.34924091602442786
34,1.122895320955316,0.5306820348710679,0.36483018284334473,0.22738310125330538,1.4194050808565333,0.5856518947750057,0.602306642937004,0.2314465498432107,0.3522142500150949
35,1.1155970060614684,0.5281353455552379,0.36570846573398924,0.22175319293863033,1.4826545436447913,0.5987950125965503,0.6210055591863229,0.26285397821883544,0.4318381660268642
36,1.1070218856385101,0.5276998708734789,0.3594548145026754,0.21986719654725578,1.441810634704905,0.5861303587572291,0.6112867705865738,0.2443935154774867,0.34350483398884535
37,1.1015969502424314,0.524996990726575,0.3588914706941372,0.21770848491769407,1.4878487242471188,0.5927422473190027,0.6152900211307981,0.2798164354278407,0.4175946670002304
38,1.0993152184149118,0.5242348280929617,0.35651417939756413,0.21856620828590154,1.4403980500107512,0.5890885832112863,0.6091423317653324,0.242167134282239,0.3989934590063058
