model_name,split,horizon,brier_score,log_loss,roc_auc,n_obs,positive_rate
mlp_multitask_v1_enriched_h256_128_64_do02,train,24,0.17460764169474008,0.5230951495562389,0.8139466366501141,23031,0.442837914115757
mlp_multitask_v1_enriched_h256_128_64_do02,val,24,0.19403784438990487,0.5692320482844747,0.7776345956202071,1744,0.4782110091743119
mlp_multitask_v1_enriched_h256_128_64_do02,test,24,0.20296339899224064,0.5873660941726982,0.7483627185997641,3513,0.46854540278963847
mlp_multitask_v1_enriched_h256_128_64_do02,train,72,0.18466272888182297,0.547223868001648,0.7962077147182803,23031,0.5035387086969736
mlp_multitask_v1_enriched_h256_128_64_do02,val,72,0.20093410945007745,0.5866108074588958,0.7571138009919873,1744,0.5349770642201835
mlp_multitask_v1_enriched_h256_128_64_do02,test,72,0.20939109536609354,0.6032062905677446,0.7306550204134746,3513,0.5303159692570453
