model_name,split,horizon,n_total,n_available,target_available_rate,mae,rmse,n_obs,mean_true,mean_pred
mlp_multitask_v1_enriched_h256_128_64_do02,train,24,23031,10199,0.442837914115757,0.4396751255862373,0.5813470777249778,10199,5.0632385527992945,5.015392594132217
mlp_multitask_v1_enriched_h256_128_64_do02,val,24,1744,834,0.4782110091743119,0.5799865638952462,0.7575259063014429,834,5.189796163069544,5.006523618309332
mlp_multitask_v1_enriched_h256_128_64_do02,test,24,3513,1646,0.46854540278963847,0.493018040867781,0.6568269689939213,1646,5.01546807658558,5.053283648386616
mlp_multitask_v1_enriched_h256_128_64_do02,train,72,23031,11597,0.5035387086969736,0.4544964335480157,0.6035971349374092,11597,5.096750883849272,5.049765369692085
mlp_multitask_v1_enriched_h256_128_64_do02,val,72,1744,933,0.5349770642201835,0.5824256474207706,0.7528460002458648,933,5.199603429796356,5.036571475087254
mlp_multitask_v1_enriched_h256_128_64_do02,test,72,3513,1863,0.5303159692570453,0.4951322741739986,0.6537263263116526,1863,5.041175767074538,5.087533784565334
