model_name,split,horizon,n_total,n_available,target_available_rate,mae,rmse,n_obs,mean_true,mean_pred
mlp_count_shared_trunk_cw10,train,24,23031,10199,0.442837914115757,0.4518318480605623,0.6029459851323841,10199,5.0632385527992945,4.858027187091765
mlp_count_shared_trunk_cw10,val,24,1744,834,0.4782110091743119,0.5970570512012326,0.806403387305981,834,5.189796163069544,4.811583299716886
mlp_count_shared_trunk_cw10,test,24,3513,1646,0.46854540278963847,0.5076549531904917,0.6713301701505278,1646,5.015164309878411,4.798987951776961
mlp_count_shared_trunk_cw10,train,72,23031,11597,0.5035387086969736,0.46418236304780913,0.6231959923046301,11597,5.096750883849272,4.894991973417427
mlp_count_shared_trunk_cw10,val,72,1744,933,0.5349770642201835,0.597361341795354,0.7961596520876284,933,5.199603429796356,4.845058593208256
mlp_count_shared_trunk_cw10,test,72,3513,1863,0.5303159692570453,0.5073720801337196,0.6684258691530086,1863,5.040907382748183,4.836081509556875
