model_name,split,horizon,capped_mae,capped_rmse,n_obs,count_cap,mean_true_capped,mean_pred_capped,n_true_at_or_above_cap,n_pred_at_or_above_cap,n_correct_at_or_above_cap,n_missed_at_or_above_cap,n_false_alarm_at_or_above_cap
mlp_pm_focalg10_countw05_enriched_256_128_64_d03_lr3e4,train,24,5.433349364016703,18.814710153605642,23031,300.0,6.497459945291129,2.2395674942493216,19,0,0,19,0
mlp_pm_focalg10_countw05_enriched_256_128_64_d03_lr3e4,val,24,12.933907002725208,42.35821314302117,1744,300.0,13.459288990825687,1.465831055094228,0,0,0,0,0
mlp_pm_focalg10_countw05_enriched_256_128_64_d03_lr3e4,test,24,8.936710617030538,26.901457551142467,3513,300.0,9.506120125249074,1.573962861442527,6,0,0,6,0
mlp_pm_focalg10_countw05_enriched_256_128_64_d03_lr3e4,train,72,8.696732823142304,30.9562002503874,23031,500.0,10.546741348617081,3.537000955005815,18,0,0,18,0
mlp_pm_focalg10_countw05_enriched_256_128_64_d03_lr3e4,val,72,19.750252073962848,62.61806884495718,1744,500.0,20.534977064220183,2.1905856937535293,0,0,0,0,0
mlp_pm_focalg10_countw05_enriched_256_128_64_d03_lr3e4,test,72,13.380244112283403,40.62112011450779,3513,500.0,14.311699402220324,2.3780478040924744,5,0,0,5,0
