model_name,split,horizon,n_total,n_available,target_available_rate,mae,rmse,n_obs,mean_true,mean_pred
mlp_multitask_v1_enriched_h256_256_128_do03,train,24,23031,10199,0.442837914115757,0.4481379814963328,0.5944884290111271,10199,5.0632385527992945,4.94591462255658
mlp_multitask_v1_enriched_h256_256_128_do03,val,24,1744,834,0.4782110091743119,0.5805736002933493,0.7614307629599129,834,5.189796163069544,4.942536336912526
mlp_multitask_v1_enriched_h256_256_128_do03,test,24,3513,1646,0.46854540278963847,0.4899094605496407,0.6533483217065402,1646,5.01546807658558,5.008723959453485
mlp_multitask_v1_enriched_h256_256_128_do03,train,72,23031,11597,0.5035387086969736,0.46372851365762013,0.6175777184584202,11597,5.096750883849272,4.979719046735553
mlp_multitask_v1_enriched_h256_256_128_do03,val,72,1744,933,0.5349770642201835,0.5832416280826188,0.756173615253948,933,5.199603429796356,4.970035160213932
mlp_multitask_v1_enriched_h256_256_128_do03,test,72,3513,1863,0.5303159692570453,0.4901818891647735,0.6490980664230955,1863,5.041175767074538,5.0380634256927035
