epoch,train_total_loss,train_prob_loss,train_count_loss,train_magnitude_loss,val_total_loss,val_prob_loss,val_count_loss,val_magnitude_loss,epoch_seconds
1,2.326851336148873,0.6726073640095034,0.5883183872247869,1.3600847798818037,1.2743720220863273,0.6278149469183125,0.6585822808086326,0.31726594036872235,0.8266158000042196
2,1.2343655863326246,0.6181240307255246,0.5147373396328251,0.35887288800344286,1.2043184971590655,0.5947392714132956,0.6284905000837571,0.2953339905366985,0.7949680000019725
3,1.1637001173313326,0.5963352233369447,0.482475337718821,0.3261272179182889,1.1490872781211083,0.5804005330855694,0.6003037304232973,0.26853486786194897,0.7894438999937847
4,1.1169386924330231,0.5868257755675446,0.4596625143690968,0.3002816524817109,1.132211399734567,0.5780395427975086,0.5935251197410286,0.2574092857881424,0.8078207999933511
5,1.0903211258282897,0.578255922871672,0.4447864105385605,0.2896720028931358,1.1247677398384164,0.5746627313281418,0.5919439777595188,0.2541330188786218,0.8845357999962289
6,1.0710678277451093,0.5717936325806169,0.43345964952994714,0.282544366690242,1.1052600243769655,0.5709649510339859,0.5783459073906645,0.24512212033118677,0.9394126999977743
7,1.0553605959908299,0.5677520504093456,0.4250706850442008,0.27507320827100523,1.123740352621866,0.5777673628352104,0.5874101683634136,0.2522678848253478,0.8367923999903724
8,1.0382957891730322,0.5639215297215739,0.41939763051078116,0.26467543389704973,1.0994155691304337,0.571277636453646,0.5795842735865794,0.2383458130403396,0.884712999992189
9,1.0296211043372507,0.5611306989241099,0.4156369389780521,0.2606719395266359,1.1032044964099148,0.5688482282358572,0.579395386740702,0.24465855956077576,0.832062199988286
10,1.0229289887922575,0.5598160261146349,0.41462336976546493,0.2558012787945121,1.1241425171904607,0.5773204718161067,0.5863248897255013,0.2536596152760567,0.8784183000097983
11,1.0141379695021269,0.5560375056074858,0.4102494970528862,0.2529757130079256,1.1144937943974766,0.57895110779946,0.5856878847704021,0.2426987410685338,1.0292835000000196
12,1.0097124871602667,0.5550852843260756,0.40864918971335,0.25030261009516186,1.124164148208198,0.577949900692756,0.5923170973674967,0.25005571147717465,1.0022536000033142
13,0.9988611803493324,0.5507171123587123,0.4069973782425019,0.24464537901106298,1.1043655030224302,0.5771469588673442,0.5862631494298988,0.23408697928310535,1.0264985999965575
14,0.9991518035366058,0.5508918968963797,0.4041661066718286,0.2461768519320152,1.1117592700030825,0.5739953178878224,0.5864995604534762,0.24451417475938797,1.0143504000006942
15,0.9918914761132711,0.549307125510998,0.40280960199965526,0.24117955186178525,1.1029006559914405,0.5771052405374859,0.5899051475688952,0.2308428384568713,1.0509760999993887
16,0.9821084502371584,0.5454021264864812,0.3974650854304757,0.23797378053271678,1.1262447598877303,0.5799873509538283,0.5945555756398297,0.24897960935710767,0.9785693000012543
17,0.9829725275999931,0.5472138298432063,0.3998224671323023,0.23584746367626705,1.1515985760120078,0.5818463088175573,0.6041038633759962,0.26770033133686133,0.989878399996087
18,0.9753153554253766,0.5432987285806313,0.39487153582854306,0.23458086081713891,1.1267099336746635,0.5876422825209592,0.5947999263848733,0.241667717968652,1.1112549000099534
19,0.9728395236769861,0.5442878648267991,0.3942033036139944,0.23145000493136703,1.0836974502703465,0.567091838482323,0.571112897281253,0.23104916786381957,1.113368400008767
20,0.9674173247321938,0.5402128647993951,0.3928280010095437,0.23079046154567254,1.083753043358479,0.5688786506652832,0.5717191813735787,0.22901482839103138,0.9099923000030685
21,0.9609771182920002,0.5378385070122762,0.38849511295382333,0.22889106212625657,1.122421436353561,0.5872129130800929,0.6017003155082737,0.23435837016739977,0.8542491999978665
22,0.9586699672147168,0.538342605993371,0.38767644853832295,0.22648913817696387,1.1051129890144418,0.5783947695285903,0.5905484430013447,0.23144399887378062,1.1004380999947898
23,0.9620872955389347,0.5402130968359217,0.39044666951004225,0.2266508629425469,1.090621702167966,0.5688669550309488,0.5776619804561685,0.23292375239757224,0.8719175000005635
24,0.9488765014262968,0.5360167544770399,0.3857955089479712,0.21996199383592177,1.1053193167808952,0.5769662818777452,0.587911420869171,0.23439731893189455,0.907976200003759
25,0.9521116488796978,0.5367909099218109,0.385998982559102,0.22232124917485743,1.0980378050322925,0.5731670987715415,0.5824708175768546,0.2336353219430381,0.8192785999999614
26,0.9422067389818037,0.5341369324291344,0.38270097137103093,0.21671931986753187,1.1118922310137966,0.5815823280483211,0.5927167813712304,0.23395150817862345,0.8024861999874702
27,0.9378672838676902,0.5311503252107929,0.3821186869812459,0.21565761629594432,1.0921819385038603,0.572655163773703,0.582350712987261,0.2283514144770596,0.8096396999899298
