model_name,split,horizon,mae,rmse,n_obs,mean_true,mean_pred
mlp_count_twohead_v2,train,24,5.879459803457201,25.857561493984655,23031,6.6710520602665975,2.65422963572033
mlp_count_twohead_v2,val,24,12.875887734079605,42.187279658128666,1744,13.459288990825687,1.7537884800716244
mlp_count_twohead_v2,test,24,9.15192058814558,29.627460888081668,3513,9.626814688300598,2.062470272100307
mlp_count_twohead_v2,train,72,9.639561205655419,47.251869788685575,23031,10.858929269245799,4.449793324480197
mlp_count_twohead_v2,val,72,19.746012871996612,62.47651139655437,1744,20.534977064220183,2.615448627697049
mlp_count_twohead_v2,test,72,13.88742084963814,49.11445203303511,3513,14.423569598633646,3.290209456153666
