model_name,split,horizon,brier_score,log_loss,roc_auc,n_obs,positive_rate
mlp_count_twohead_v2,train,24,0.17015366475995986,0.5108831697075158,0.8233578341808485,23031,0.442837914115757
mlp_count_twohead_v2,val,24,0.1888871533845547,0.5567309315220248,0.7869568081798299,1744,0.4782110091743119
mlp_count_twohead_v2,test,24,0.19417135419498385,0.5673721666517503,0.7707654725776923,3513,0.46854540278963847
mlp_count_twohead_v2,train,72,0.17966368865671967,0.5344205766558338,0.8068015040230212,23031,0.5035387086969736
mlp_count_twohead_v2,val,72,0.19714616256044692,0.5774527614207482,0.7651517254048368,1744,0.5349770642201835
mlp_count_twohead_v2,test,72,0.20298799337157952,0.5894211395200715,0.749480147692708,3513,0.5303159692570453
